rows,cols,obstacle_ratio,num_runs,id_scenario,run_num,origin,destination,type,lunghezza,execution_time,recursive_calls,cache_hits,total_unique_frontiers,pruning_successes,max_recursion_depth
10,10,0.2,10,confronto_0,1,"(1, 0)","(6, 9)",ottimizzato,11.071067811865476,0.0006861002184450626,1,0,0,0,1
10,10,0.2,10,confronto_0,1,"(1, 0)","(6, 9)",naive,11.071067811865476,0.0005243001505732536,1,0,0,0,1
10,10,0.2,10,confronto_0,2,"(2, 0)","(7, 8)",ottimizzato,10.071067811865476,0.0010575000196695328,2,0,24,23,2
10,10,0.2,10,confronto_0,2,"(2, 0)","(7, 8)",naive,10.071067811865476,0.05426110001280904,102,0,46,0,5
10,10,0.2,10,confronto_0,3,"(3, 3)","(9, 9)",ottimizzato,9.65685424949238,0.004734600195661187,9,0,26,19,3
10,10,0.2,10,confronto_0,3,"(3, 3)","(9, 9)",naive,9.65685424949238,0.04716249997727573,84,0,43,0,5
10,10,0.2,10,confronto_0,4,"(4, 3)","(8, 6)",ottimizzato,5.242640687119286,0.00038560014218091965,1,0,0,0,1
10,10,0.2,10,confronto_0,4,"(4, 3)","(8, 6)",naive,5.242640687119286,0.00035479990765452385,1,0,0,0,1
10,10,0.2,10,confronto_0,5,"(3, 0)","(6, 9)",ottimizzato,10.242640687119286,0.0005477999802678823,1,0,0,0,1
10,10,0.2,10,confronto_0,5,"(3, 0)","(6, 9)",naive,10.242640687119286,0.0005622999742627144,1,0,0,0,1
10,10,0.2,10,confronto_0,6,"(0, 2)","(7, 9)",ottimizzato,10.485281374238571,0.005376099841669202,11,0,20,10,3
10,10,0.2,10,confronto_0,6,"(0, 2)","(7, 9)",naive,10.485281374238571,0.3954294000286609,715,0,70,0,9
10,10,0.2,10,confronto_0,7,"(3, 4)","(7, 6)",ottimizzato,4.82842712474619,0.0016699000261723995,3,0,22,20,2
10,10,0.2,10,confronto_0,7,"(3, 4)","(7, 6)",naive,4.82842712474619,0.027533699991181493,55,0,43,0,4
10,10,0.2,10,confronto_0,8,"(2, 4)","(8, 7)",ottimizzato,7.242640687119286,0.0005368001293390989,1,0,0,0,1
10,10,0.2,10,confronto_0,8,"(2, 4)","(8, 7)",naive,7.242640687119286,0.00038620014674961567,1,0,0,0,1
10,10,0.2,10,confronto_0,9,"(1, 4)","(9, 7)",ottimizzato,9.242640687119286,0.0004214998334646225,1,0,0,0,1
10,10,0.2,10,confronto_0,9,"(1, 4)","(9, 7)",naive,9.242640687119286,0.0003921000752598047,1,0,0,0,1
10,10,0.2,10,confronto_0,10,"(2, 1)","(9, 8)",ottimizzato,9.899494936611665,0.0006055000703781843,1,0,0,0,1
10,10,0.2,10,confronto_0,10,"(2, 1)","(9, 8)",naive,9.899494936611665,0.0006526000797748566,1,0,0,0,1
